价格,面积,室,卫,所在楼层,总楼层,位置1,位置2,小区,地铁站名,地铁距离
1490.0,11.0,3,1,3,6,通州区,通州北关,刘庄新村,6号线通州北关站,2700
2580.0,10.0,2,1,5,5,东城区,景泰,永定门东街东里,14号线东段景泰站,900
2490.0,12.0,2,1,3,6,石景山区,八角游乐园,八角中里,1号线八角游乐园站,900
3960.0,51.0,1,1,1,13,通州区,北运河西,京艺天朗嘉园,6号线北运河西站,1300
7460.0,93.0,2,1,16,28,朝阳区,北工大西门,周庄嘉园C区,14号线东段北工大西门站,1300
2440.0,10.0,4,1,7,27,丰台区,方庄,芳城园一区,14号线东段方庄站,550
1660.0,9.0,2,1,1,6,顺义区,顺义,胜利小区,15号线顺义站,700
1580.0,10.0,3,1,4,5,顺义区,顺义,建新北区,15号线顺义站,700
2260.0,11.0,7,3,1,8,朝阳区,黄渠,柏林爱乐二期,6号线黄渠站,850
1680.0,10.0,3,1,5,6,朝阳区,八里桥,西马庄园,八通线八里桥站,1150
2080.0,11.0,3,1,5,6,朝阳区,孙河,康营小区,15号线孙河站,1000
1850.0,14.0,8,2,6,6,昌平区,天通苑南,天通苑东一区,5号线天通苑南站,1650
3010.0,13.0,2,1,4,6,海淀区,田村,玉海园一里,6号线田村站,800
2000.0,16.0,4,1,3,6,通州区,次渠,次渠怡芳园小区,"亦庄线,17号线次渠站",600
2110.0,8.0,3,1,28,29,朝阳区,北岗子,恒大华府,"12号线,平谷线北岗子站",700
3540.0,14.0,5,1,3,8,朝阳区,望京西,北京香颂,"13号线,15号线望京西站",550
1410.0,10.0,3,1,6,6,顺义区,俸伯,港馨家园西区,15号线俸伯站,3250
4770.0,32.0,1,1,3,9,丰台区,公益西桥,三星庄园,4号线大兴线公益西桥站,1100
5630.0,46.0,1,1,15,15,东城区,景泰,华龙美晟,14号线东段景泰站,500
4690.0,92.0,1,1,8,20,通州区,梨园,云景豪庭,八通线梨园站,600
1380.0,12.0,4,1,9,10,顺义区,俸伯,港馨家园东区,15号线俸伯站,3050
2520.0,12.0,5,1,7,9,朝阳区,四惠,通惠家园惠润园,"1号线,八通线四惠站",650
2560.0,10.0,3,1,17,28,朝阳区,北工大西门,周庄嘉园三期A区,14号线东段北工大西门站,1150
2020.0,8.0,4,1,12,26,丰台区,樊羊路,花香东苑,房山线樊羊路站,450
1900.0,11.0,2,1,3,6,大兴区,黄村西大街,双河南里,4号线大兴线黄村西大街站,1250
7580.0,51.0,1,1,12,14,海淀区,长春桥,蜂鸟社区,"10号线,12号线长春桥站",650
5750.0,47.0,1,1,1,6,朝阳区,十里堡,石佛营西里,6号线十里堡站,1150
2740.0,9.0,3,1,10,24,朝阳区,东风北桥,梵谷水郡,"14号线东段,平谷线东风北桥站",1800
2370.0,9.0,3,1,8,11,丰台区,草桥,草桥欣园四区,"10号线,大兴机场线草桥站",200
1670.0,12.0,3,1,4,11,通州区,通州北关,K2清水湾,6号线通州北关站,1950
2440.0,10.0,2,1,3,4,石景山区,古城,古城南路,1号线古城站,500
1860.0,17.0,3,1,5,6,通州区,九棵树,西营前街,6号线北运河西站,1900
